"Winning.Percentage","Pk","DraftYr","MPG","salary","season","name","team","MPGcat.Winning.Percentage","MPGcat.Pk","MPGcat.DraftYr","MPGcat.MPG","MPGcat.salary","MPGcat.season","MPGcat.name","MPGcat.team"
0.451,37,2007,19.1, 825497,2010,"Josh McRoberts","Indiana Pacers",0.451,37,2007,Medium, 825497,2010,Josh McRoberts,Indiana Pacers
0.683,32,2007, 7.4, 825497,2010,"Gabe Pruitt","Boston Celtics",0.683,32,2007,Low, 825497,2010,Gabe Pruitt,Boston Celtics
0.695,40,2007, 2.8, 736420,2010,"Sun Yue","Los Angeles Lakers",0.695,40,2007,Low, 736420,2010,Sun Yue,Los Angeles Lakers
0.561,42,2007,18.5, 457588,2010,"Derrick Byars","Memphis Grizzlies",0.561,42,2007,Medium, 457588,2010,Derrick Byars,Memphis Grizzlies
0.756,41,2007,11.1, 186271,2010,"Chris Richard","Chicago Bulls",0.756,41,2007,Low, 186271,2010,Chris Richard,Chicago Bulls
0.758, 1,2008,31.7,5546160,2011,"Derrick Rose","Chicago Bulls",0.758, 1,2008,High,5546160,2011,Derrick Rose,Chicago Bulls
0.394, 2,2008,22.8,4962240,2011,"Michael Beasley","Minnesota Timberwolves",0.394, 2,2008,Medium,4962240,2011,Michael Beasley,Minnesota Timberwolves
0.621, 3,2008,30.9,4456200,2011,"O.J. Mayo","Memphis Grizzlies",0.621, 3,2008,High,4456200,2011,O.J. Mayo,Memphis Grizzlies
0.712, 4,2008,34.7,4017720,2011,"Russell Westbrook","Oklahoma City Thunder",0.712, 4,2008,High,4017720,2011,Russell Westbrook,Oklahoma City Thunder
0.394, 5,2008,31.1,3638280,2011,"Kevin Love","Minnesota Timberwolves",0.394, 5,2008,High,3638280,2011,Kevin Love,Minnesota Timberwolves
0.545, 6,2008,29.9,3304560,2011,"Danilo Gallinari","New York Knicks",0.545, 6,2008,High,3304560,2011,Danilo Gallinari,New York Knicks
0.106, 9,2008,23.5,2540000,2011,"D.J. Augustin","Charlotte Bobcats",0.106, 9,2008,Medium,2540000,2011,D.J. Augustin,Charlotte Bobcats
0.333,10,2008,30.3,2413320,2011,"Brook Lopez","Brooklyn Nets",0.333,10,2008,High,2413320,2011,Brook Lopez,Brooklyn Nets
0.348,11,2008,21.3,2292600,2011,"Jerryd Bayless","Toronto Raptors",0.348,11,2008,Medium,2292600,2011,Jerryd Bayless,Toronto Raptors
0.333,12,2008,25.2,2178000,2011,"Jason Thompson","Sacramento Kings",0.333,12,2008,High,2178000,2011,Jason Thompson,Sacramento Kings
0.636,13,2008,22.0,2069040,2011,"Brandon Rush","Indiana Pacers",0.636,13,2008,Medium,2069040,2011,Brandon Rush,Indiana Pacers
0.545,14,2008,15.2,1965720,2011,"Anthony Randolph","New York Knicks",0.545,14,2008,Medium,1965720,2011,Anthony Randolph,New York Knicks
0.500,15,2008,22.0,1867320,2011,"Robin Lopez","Phoenix Suns",0.500,15,2008,Medium,1867320,2011,Robin Lopez,Phoenix Suns
0.530,16,2008,15.1,1773960,2011,"Marreese Speights","Philadelphia 76ers",0.530,16,2008,Medium,1773960,2011,Marreese Speights,Philadelphia 76ers
0.636,17,2008,24.8,1685280,2011,"Roy Hibbert","Indiana Pacers",0.636,17,2008,High,1685280,2011,Roy Hibbert,Indiana Pacers
0.303,18,2008,17.1,1601040,2011,"JaVale McGee","Washington Wizards",0.303,18,2008,Medium,1601040,2011,JaVale McGee,Washington Wizards
0.561,21,2008,25.8,1409040,2011,"Ryan Anderson","Orlando Magic",0.561,21,2008,High,1409040,2011,Ryan Anderson,Orlando Magic
0.515,22,2008,27.1,1352640,2011,"Courtney Lee","Houston Rockets",0.515,22,2008,High,1352640,2011,Courtney Lee,Houston Rockets
0.394,23,2008,16.4,1298640,2011,"Kosta Koufos","Minnesota Timberwolves",0.394,23,2008,Medium,1298640,2011,Kosta Koufos,Minnesota Timberwolves
0.712,24,2008,27.8,1204200,2011,"Serge Ibaka","Oklahoma City Thunder",0.712,24,2008,High,1204200,2011,Serge Ibaka,Oklahoma City Thunder
0.424,25,2008,30.8,1196760,2011,"Nicolas Batum","Portland Trail Blazers",0.424,25,2008,High,1196760,2011,Nicolas Batum,Portland Trail Blazers
0.621,27,2008,17.8,1123680,2011,"Darrell Arthur","Memphis Grizzlies",0.621,27,2008,Medium,1123680,2011,Darrell Arthur,Memphis Grizzlies
0.106,29,2008,15.3,1108680,2011,"D.J. White","Charlotte Bobcats",0.106,29,2008,Medium,1108680,2011,D.J. White,Charlotte Bobcats
0.545,38,2008,18.9, 854389,2011,"Kyle Weaver","Utah Jazz",0.545,38,2008,Medium, 854389,2011,Kyle Weaver,Utah Jazz
0.697,34,2008,26.7, 854389,2011,"Mario Chalmers","Miami Heat",0.697,34,2008,High, 854389,2011,Mario Chalmers,Miami Heat
0.758,48,2008, 7.6, 854389,2011,"Malik Hairston","San Antonio Spurs",0.758,48,2008,Low, 854389,2011,Malik Hairston,San Antonio Spurs
0.348,39,2008,18.2, 854389,2011,"Sonny Weems","Toronto Raptors",0.348,39,2008,Medium, 854389,2011,Sonny Weems,Toronto Raptors
0.758,26,2008,27.4, 854389,2011,"George Hill","San Antonio Spurs",0.758,26,2008,High, 854389,2011,George Hill,San Antonio Spurs
0.545,47,2008,16.7, 854389,2011,"Henry Walker","New York Knicks",0.545,47,2008,Medium, 854389,2011,Henry Walker,New York Knicks
0.333,52,2008, 7.5, 854389,2011,"Darnell Jackson","Sacramento Kings",0.333,52,2008,Low, 854389,2011,Darnell Jackson,Sacramento Kings
0.470,37,2008,23.3, 854389,2011,"Luc Mbah a Moute","Milwaukee Bucks",0.470,37,2008,Medium, 854389,2011,Luc Mbah a Moute,Milwaukee Bucks
0.348, 8,2008,11.1, 854389,2011,"Joe Alexander","Golden State Warriors",0.348, 8,2008,Low, 854389,2011,Joe Alexander,Golden State Warriors
0.348,33,2008,11.4, 854389,2011,"Joey Dorsey","Toronto Raptors",0.348,33,2008,Low, 854389,2011,Joey Dorsey,Toronto Raptors
0.470,40,2008,19.7, 854389,2011,"Chris Douglas-Roberts","Milwaukee Bucks",0.470,40,2008,Medium, 854389,2011,Chris Douglas-Roberts,Milwaukee Bucks
0.545,58,2008,11.5, 736420,2011,"Joe Crawford","New York Knicks",0.545,58,2008,Low, 736420,2011,Joe Crawford,New York Knicks
0.379,32,2008, 2.5, 736420,2011,"Walter Sharpe","Detroit Pistons",0.379,32,2008,Low, 736420,2011,Walter Sharpe,Detroit Pistons
0.318,60,2008,13.4, 473604,2011,"Semih Erden","Cleveland Cavaliers",0.318,60,2008,Medium, 473604,2011,Semih Erden,Cleveland Cavaliers
0.341,43,2009,23.4,7525000,2012,"Marcus Thornton","Sacramento Kings",0.341,43,2009,Medium,7525000,2012,Marcus Thornton,Sacramento Kings
0.341, 4,2009,30.7,5251825,2012,"Tyreke Evans","Sacramento Kings",0.341, 4,2009,High,5251825,2012,Tyreke Evans,Sacramento Kings
0.402, 2,2009,10.5,5127720,2012,"Hasheem Thabeet","Portland Trail Blazers",0.402, 2,2009,Low,5127720,2012,Hasheem Thabeet,Portland Trail Blazers
0.732, 3,2009,34.6,4604760,2012,"James Harden","Oklahoma City Thunder",0.732, 3,2009,High,4604760,2012,James Harden,Oklahoma City Thunder
0.354,39,2009,17.8,4500000,2012,"Jonas Jerebko","Detroit Pistons",0.354,39,2009,Medium,4500000,2012,Jonas Jerebko,Detroit Pistons
0.378, 5,2009,30.3,3480120,2012,"Ricky Rubio","Minnesota Timberwolves",0.378, 5,2009,High,3480120,2012,Ricky Rubio,Minnesota Timberwolves
0.402, 6,2009,22.9,3414720,2012,"Jonny Flynn","Portland Trail Blazers",0.402, 6,2009,Medium,3414720,2012,Jonny Flynn,Portland Trail Blazers
0.415, 9,2009,34.2,3344250,2012,"DeMar DeRozan","Toronto Raptors",0.415, 9,2009,High,3344250,2012,DeMar DeRozan,Toronto Raptors
0.573, 7,2009,34.4,3117120,2012,"Stephen Curry","Golden State Warriors",0.573, 7,2009,High,3117120,2012,Stephen Curry,Golden State Warriors
0.549, 8,2009,18.8,2855760,2012,"Jordan Hill","Los Angeles Lakers",0.549, 8,2009,Medium,2855760,2012,Jordan Hill,Los Angeles Lakers
0.415,16,2009,20.5,2812006,2012,"James Johnson","Toronto Raptors",0.415,16,2009,Medium,2812006,2012,James Johnson,Toronto Raptors
0.415,17,2009,33.2,2674852,2012,"Jrue Holiday","Philadelphia 76ers",0.415,17,2009,High,2674852,2012,Jrue Holiday,Philadelphia 76ers
0.463,10,2009,30.3,2493720,2012,"Brandon Jennings","Milwaukee Bucks",0.463,10,2009,High,2493720,2012,Brandon Jennings,Milwaukee Bucks
0.256,12,2009,25.9,2250600,2012,"Gerald Henderson","Charlotte Bobcats",0.256,12,2009,High,2250600,2012,Gerald Henderson,Charlotte Bobcats
0.605,13,2009,16.9,2138040,2012,"Tyler Hansbrough","Indiana Pacers",0.605,13,2009,Medium,2138040,2012,Tyler Hansbrough,Indiana Pacers
0.683,33,2009,20.8,2000000,2012,"Dante Cunningham","Memphis Grizzlies",0.683,33,2009,Medium,2000000,2012,Dante Cunningham,Memphis Grizzlies
0.354,15,2009,14.1,1929600,2012,"Austin Daye","Detroit Pistons",0.354,15,2009,Medium,1929600,2012,Austin Daye,Detroit Pistons
0.695,18,2009,29.2,1654440,2012,"Ty Lawson","Denver Nuggets",0.695,18,2009,High,1654440,2012,Ty Lawson,Denver Nuggets
0.537,19,2009,26.8,1579920,2012,"Jeff Teague","Atlanta Hawks",0.537,19,2009,High,1579920,2012,Jeff Teague,Atlanta Hawks
0.732,20,2009,14.6,1516680,2012,"Eric Maynor","Oklahoma City Thunder",0.732,20,2009,Medium,1516680,2012,Eric Maynor,Oklahoma City Thunder
0.605,31,2009, 9.8,1500000,2012,"Jeff Ayres","Indiana Pacers",0.605,31,2009,Low,1500000,2012,Jeff Ayres,Indiana Pacers
0.605,21,2009,29.3,1455960,2012,"Darren Collison","Indiana Pacers",0.605,21,2009,High,1455960,2012,Darren Collison,Indiana Pacers
0.293,23,2009,20.3,1341960,2012,"Omri Casspi","Cleveland Cavaliers",0.293,23,2009,Medium,1341960,2012,Omri Casspi,Cleveland Cavaliers
0.256,24,2009,18.2,1288200,2012,"Byron Mullens","Charlotte Bobcats",0.256,24,2009,Medium,1288200,2012,Byron Mullens,Charlotte Bobcats
0.500,25,2009,15.9,1236720,2012,"Rodrigue Beaubois","Dallas Mavericks",0.500,25,2009,Medium,1236720,2012,Rodrigue Beaubois,Dallas Mavericks
0.549,26,2009,24.6,1195680,2012,"Taj Gibson","Chicago Bulls",0.549,26,2009,High,1195680,2012,Taj Gibson,Chicago Bulls
0.683,36,2009,15.9,1184750,2012,"Sam Young","Memphis Grizzlies",0.683,36,2009,Medium,1184750,2012,Sam Young,Memphis Grizzlies
0.244,14,2009,13.9,1160000,2012,"Earl Clark","Orlando Magic",0.244,14,2009,Medium,1160000,2012,Earl Clark,Orlando Magic
0.378,28,2009,20.9,1154040,2012,"Wayne Ellington","Minnesota Timberwolves",0.378,28,2009,Medium,1154040,2012,Wayne Ellington,Minnesota Timberwolves
0.659,29,2009,19.1,1145640,2012,"Toney Douglas","New York Knicks",0.659,29,2009,Medium,1145640,2012,Toney Douglas,New York Knicks
0.549,30,2009,20.6,1097520,2012,"Christian Eyenga","Los Angeles Lakers",0.549,30,2009,Medium,1097520,2012,Christian Eyenga,Los Angeles Lakers
0.707,37,2009,16.6,1054000,2012,"DeJuan Blair","San Antonio Spurs",0.707,37,2009,Medium,1054000,2012,DeJuan Blair,San Antonio Spurs
0.463,38,2009,10.5,1000000,2012,"Jon Brockman","Milwaukee Bucks",0.463,38,2009,Low,1000000,2012,Jon Brockman,Milwaukee Bucks
0.524,27,2009,23.7, 885120,2012,"DeMarre Carroll","Utah Jazz",0.524,27,2009,Medium, 885120,2012,DeMarre Carroll,Utah Jazz
0.415,41,2009,22.5, 854389,2012,"Jodie Meeks","Philadelphia 76ers",0.415,41,2009,Medium, 854389,2012,Jodie Meeks,Philadelphia 76ers
0.256,40,2009,14.9, 854389,2012,"Derrick Brown","Charlotte Bobcats",0.256,40,2009,Medium, 854389,2012,Derrick Brown,Charlotte Bobcats
0.605,52,2009,15.1, 854389,2012,"A.J. Price","Indiana Pacers",0.605,52,2009,Medium, 854389,2012,A.J. Price,Indiana Pacers
0.549,44,2009,19.7, 854389,2012,"Chase Budinger","Houston Rockets",0.549,44,2009,Medium, 854389,2012,Chase Budinger,Houston Rockets
0.707,46,2009,25.5, 854389,2012,"Danny Green","San Antonio Spurs",0.707,46,2009,High, 854389,2012,Danny Green,San Antonio Spurs
0.293,32,2009,12.1, 780871,2012,"Jermaine Taylor","Cleveland Cavaliers",0.293,32,2009,Medium, 780871,2012,Jermaine Taylor,Cleveland Cavaliers
0.305,48,2009, 4.0, 762195,2012,"Taylor Griffin","Phoenix Suns",0.305,48,2009,Low, 762195,2012,Taylor Griffin,Phoenix Suns
0.341,11,2009,19.1, 254938,2012,"Terrence Williams","Sacramento Kings",0.341,11,2009,Medium, 254938,2012,Terrence Williams,Sacramento Kings
0.707,55,2009,20.7, 213517,2012,"Patty Mills","San Antonio Spurs",0.707,55,2009,Medium, 213517,2012,Patty Mills,San Antonio Spurs
0.683,58,2009,10.4,  48232,2012,"Lester Hudson","Memphis Grizzlies",0.683,58,2009,Low,  48232,2012,Lester Hudson,Memphis Grizzlies
0.537, 1,2010,35.6,7459925,2013,"John Wall","Washington Wizards",0.537, 1,2010,High,7459925,2013,John Wall,Washington Wizards
0.585,39,2010,23.6,6250000,2013,"Landry Fields","Toronto Raptors",0.585,39,2010,Medium,6250000,2013,Landry Fields,Toronto Raptors
0.232, 2,2010,26.9,5293080,2013,"Evan Turner","Philadelphia 76ers",0.232, 2,2010,High,5293080,2013,Evan Turner,Philadelphia 76ers
0.305, 3,2010,24.3,4753320,2013,"Derrick Favors","Utah Jazz",0.305, 3,2010,High,4753320,2013,Derrick Favors,Utah Jazz
0.585, 4,2010,22.1,4285560,2013,"Wesley Johnson","Phoenix Suns",0.585, 4,2010,Medium,4285560,2013,Wesley Johnson,Phoenix Suns
0.341, 5,2010,30.4,3880800,2013,"DeMarcus Cousins","Sacramento Kings",0.341, 5,2010,High,3880800,2013,DeMarcus Cousins,Sacramento Kings
0.183, 6,2010,14.8,3524880,2013,"Ekpe Udoh","Milwaukee Bucks",0.183, 6,2010,Medium,3524880,2013,Ekpe Udoh,Milwaukee Bucks
0.354, 7,2010,27.5,3217680,2013,"Greg Monroe","Detroit Pistons",0.354, 7,2010,High,3217680,2013,Greg Monroe,Detroit Pistons
0.305, 9,2010,31.1,2709720,2013,"Gordon Hayward","Utah Jazz",0.305, 9,2010,High,2709720,2013,Gordon Hayward,Utah Jazz
0.683,10,2010,33.6,2574120,2013,"Paul George","Indiana Pacers",0.683,10,2010,High,2574120,2013,Paul George,Indiana Pacers
0.341,11,2010,10.0,2445480,2013,"Cole Aldrich","Sacramento Kings",0.341,11,2010,Low,2445480,2013,Cole Aldrich,Sacramento Kings
0.537,23,2010,20.4,2350820,2013,"Trevor Booker","Washington Wizards",0.537,23,2010,Medium,2350820,2013,Trevor Booker,Washington Wizards
0.610,13,2010,19.3,2207040,2013,"Ed Davis","Memphis Grizzlies",0.610,13,2010,Medium,2207040,2013,Ed Davis,Memphis Grizzlies
0.341,14,2010,20.8,2096760,2013,"Patrick Patterson","Sacramento Kings",0.341,14,2010,Medium,2096760,2013,Patrick Patterson,Sacramento Kings
0.183,15,2010,19.5,1991760,2013,"Larry Sanders","Milwaukee Bucks",0.183,15,2010,Medium,1991760,2013,Larry Sanders,Milwaukee Bucks
0.659,16,2010,14.0,1892280,2013,"Luke Babbitt","Portland Trail Blazers",0.659,16,2010,Medium,1892280,2013,Luke Babbitt,Portland Trail Blazers
0.305,55,2010,10.5,1794872,2013,"Jeremy Evans","Utah Jazz",0.305,55,2010,Low,1794872,2013,Jeremy Evans,Utah Jazz
0.305,19,2010,27.7,1630800,2013,"Avery Bradley","Boston Celtics",0.305,19,2010,High,1630800,2013,Avery Bradley,Boston Celtics
0.659,22,2010,13.5,1442880,2013,"Elliot Williams","Portland Trail Blazers",0.659,22,2010,Medium,1442880,2013,Elliot Williams,Portland Trail Blazers
0.232,21,2010, 7.1,1404960,2013,"Craig Brackins","Philadelphia 76ers",0.232,21,2010,Low,1404960,2013,Craig Brackins,Philadelphia 76ers
0.598,25,2010, 9.3,1276560,2013,"Dominique Jones","Dallas Mavericks",0.598,25,2010,Low,1276560,2013,Dominique Jones,Dallas Mavericks
0.610,26,2010,15.6,1234320,2013,"Quincy Pondexter","Memphis Grizzlies",0.610,26,2010,Medium,1234320,2013,Quincy Pondexter,Memphis Grizzlies
0.537,27,2010,24.4,1198680,2013,"Jordan Crawford","Washington Wizards",0.537,27,2010,High,1198680,2013,Jordan Crawford,Washington Wizards
0.402,52,2010,12.4,1054389,2013,"Luke Harangody","Cleveland Cavaliers",0.402,52,2010,Medium,1054389,2013,Luke Harangody,Cleveland Cavaliers
0.720,29,2010,10.6, 916099,2013,"Daniel Orton","Oklahoma City Thunder",0.720,29,2010,Low, 916099,2013,Daniel Orton,Oklahoma City Thunder
0.683,40,2010,23.1, 870000,2013,"Lance Stephenson","Indiana Pacers",0.683,40,2010,Medium, 870000,2013,Lance Stephenson,Indiana Pacers
0.659,33,2010,25.1, 854389,2013,"Hassan Whiteside","Portland Trail Blazers",0.659,33,2010,High, 854389,2013,Hassan Whiteside,Portland Trail Blazers
0.610,32,2010, 6.9, 854389,2013,"Dexter Pittman","Memphis Grizzlies",0.610,32,2010,Low, 854389,2013,Dexter Pittman,Memphis Grizzlies
0.232,50,2010, 7.0, 830000,2013,"Solomon Alabi","Philadelphia 76ers",0.232,50,2010,Low, 830000,2013,Solomon Alabi,Philadelphia 76ers
0.585,38,2010, 4.8, 788872,2013,"Andy Rautins","Toronto Raptors",0.585,38,2010,Low, 788872,2013,Andy Rautins,Toronto Raptors
0.232,46,2010, 2.0, 788872,2013,"Gani Lawal","Philadelphia 76ers",0.232,46,2010,Low, 788872,2013,Gani Lawal,Philadelphia 76ers
0.659,41,2010,10.7, 788872,2013,"Jarvis Varnado","Miami Heat",0.659,41,2010,Low, 788872,2013,Jarvis Varnado,Miami Heat
0.463,53,2010, 7.0, 788872,2013,"Pape Sy","Atlanta Hawks",0.463,53,2010,Low, 788872,2013,Pape Sy,Atlanta Hawks
0.183,37,2010, 7.8, 762195,2013,"Darington Hobson","Milwaukee Bucks",0.183,37,2010,Low, 762195,2013,Darington Hobson,Milwaukee Bucks
0.329,58,2010, 5.2, 762195,2013,"Derrick Caracter","Los Angeles Lakers",0.329,58,2010,Low, 762195,2013,Derrick Caracter,Los Angeles Lakers
0.415,44,2010, 7.6, 762195,2013,"Jerome Jordan","New Orleans Pelicans",0.415,44,2010,Low, 762195,2013,Jerome Jordan,New Orleans Pelicans
0.488,30,2010, 8.2, 542788,2013,"Lazar Hayward","Minnesota Timberwolves",0.488,30,2010,Low, 542788,2013,Lazar Hayward,Minnesota Timberwolves
0.756,20,2010,17.5, 532737,2013,"James Anderson","San Antonio Spurs",0.756,20,2010,Medium, 532737,2013,James Anderson,San Antonio Spurs
0.720,57,2010, 3.4, 475000,2013,"Ryan Reid","Oklahoma City Thunder",0.720,57,2010,Low, 475000,2013,Ryan Reid,Oklahoma City Thunder
0.537,34,2010, 8.5, 104494,2013,"Armon Johnson","Brooklyn Nets",0.537,34,2010,Low, 104494,2013,Armon Johnson,Brooklyn Nets
0.537,24,2010,16.0,  68902,2013,"Damion James","Brooklyn Nets",0.537,24,2010,Medium,  68902,2013,Damion James,Brooklyn Nets
0.646, 1,2011,33.9,5607240,2014,"Kyrie Irving","Cleveland Cavaliers",0.646, 1,2011,High,5607240,2014,Kyrie Irving,Cleveland Cavaliers
0.354, 2,2011,20.7,5016960,2014,"Derrick Williams","Sacramento Kings",0.354, 2,2011,Medium,5016960,2014,Derrick Williams,Sacramento Kings
0.646, 4,2011,27.1,4062000,2014,"Tristan Thompson","Cleveland Cavaliers",0.646, 4,2011,High,4062000,2014,Tristan Thompson,Cleveland Cavaliers
0.220,50,2011,17.8,3060000,2014,"Lavoy Allen","Philadelphia 76ers",0.220,50,2011,Medium,3060000,2014,Lavoy Allen,Philadelphia 76ers
0.500, 8,2011,29.4,2793960,2014,"Brandon Knight","Milwaukee Bucks",0.500, 8,2011,High,2793960,2014,Brandon Knight,Milwaukee Bucks
0.817,11,2011,32.9,2317920,2014,"Klay Thompson","Golden State Warriors",0.817,11,2011,High,2317920,2014,Klay Thompson,Golden State Warriors
0.463,12,2011,22.6,2202000,2014,"Alec Burks","Utah Jazz",0.463,12,2011,Medium,2202000,2014,Alec Burks,Utah Jazz
0.476,13,2011,24.9,2091840,2014,"Markieff Morris","Phoenix Suns",0.476,13,2011,High,2091840,2014,Markieff Morris,Phoenix Suns
0.671,15,2011,31.3,1887840,2014,"Kawhi Leonard","San Antonio Spurs",0.671,15,2011,High,1887840,2014,Kawhi Leonard,San Antonio Spurs
0.207,17,2011,24.9,1703760,2014,"Iman Shumpert","New York Knicks",0.207,17,2011,High,1703760,2014,Iman Shumpert,New York Knicks
0.561,18,2011,17.6,1618680,2014,"Chris Singleton","Washington Wizards",0.561,18,2011,Medium,1618680,2014,Chris Singleton,Washington Wizards
0.305,19,2011,31.3,1545840,2014,"Tobias Harris","Orlando Magic",0.305,19,2011,High,1545840,2014,Tobias Harris,Orlando Magic
0.366,22,2011,24.5,1367640,2014,"Kenneth Faried","Denver Nuggets",0.366,22,2011,High,1367640,2014,Kenneth Faried,Denver Nuggets
0.549,24,2011,25.4,1260360,2014,"Reggie Jackson","Oklahoma City Thunder",0.549,24,2011,High,1260360,2014,Reggie Jackson,Oklahoma City Thunder
0.256,25,2011,17.3,1210080,2014,"MarShon Brooks","Los Angeles Lakers",0.256,25,2011,Medium,1210080,2014,MarShon Brooks,Los Angeles Lakers
0.683,26,2011,13.9,1169880,2014,"Jordan Hamilton","Houston Rockets",0.683,26,2011,Medium,1169880,2014,Jordan Hamilton,Houston Rockets
0.451,28,2011,22.3,1129200,2014,"Norris Cole","Miami Heat",0.451,28,2011,Medium,1129200,2014,Norris Cole,Miami Heat
0.671,29,2011,22.1,1120920,2014,"Cory Joseph","San Antonio Spurs",0.671,29,2011,Medium,1120920,2014,Cory Joseph,San Antonio Spurs
0.610,30,2011,33.1,1112880,2014,"Jimmy Butler","Chicago Bulls",0.610,30,2011,High,1112880,2014,Jimmy Butler,Chicago Bulls
0.390,33,2011,21.9,1045000,2014,"Kyle Singler","Detroit Pistons",0.390,33,2011,Medium,1045000,2014,Kyle Singler,Detroit Pistons
0.683,38,2011,30.1, 926500,2014,"Chandler Parsons","Houston Rockets",0.683,38,2011,High, 926500,2014,Chandler Parsons,Houston Rockets
0.671,40,2011,15.8, 900000,2014,"Jon Leuer","Memphis Grizzlies",0.671,40,2011,Medium, 900000,2014,Jon Leuer,Memphis Grizzlies
0.732,34,2011,18.4, 884293,2014,"Shelvin Mack","Atlanta Hawks",0.732,34,2011,Medium, 884293,2014,Shelvin Mack,Atlanta Hawks
0.390,45,2011,11.8, 884293,2014,"Josh Harrellson","Detroit Pistons",0.390,45,2011,Low, 884293,2014,Josh Harrellson,Detroit Pistons
0.354,60,2011,28.8, 884293,2014,"Isaiah Thomas","Sacramento Kings",0.354,60,2011,High, 884293,2014,Isaiah Thomas,Sacramento Kings
0.305,55,2011,21.0, 884293,2014,"E'Twaun Moore","Orlando Magic",0.305,55,2011,Medium, 884293,2014,E'Twaun Moore,Orlando Magic
0.207,39,2011, 9.9, 556584,2014,"Jeremy Tyler","New York Knicks",0.207,39,2011,Low, 556584,2014,Jeremy Tyler,New York Knicks
0.354,10,2011,13.3, 239279,2014,"Jimmer Fredette","Sacramento Kings",0.354,10,2011,Medium, 239279,2014,Jimmer Fredette,Sacramento Kings
0.366, 1,2012,34.4,5607240,2015,"Anthony Davis","New Orleans Pelicans",0.366, 1,2012,High,5607240,2015,Anthony Davis,New Orleans Pelicans
0.585, 2,2012,24.6,5016960,2015,"Michael Kidd-Gilchrist","Charlotte Hornets",0.585, 2,2012,High,5016960,2015,Michael Kidd-Gilchrist,Charlotte Hornets
0.500,48,2012,15.8,4797664,2015,"Kostas Papanikolaou","Houston Rockets",0.500,48,2012,Medium,4797664,2015,Kostas Papanikolaou,Houston Rockets
0.500, 3,2012,34.8,4505280,2015,"Bradley Beal","Washington Wizards",0.500, 3,2012,High,4505280,2015,Bradley Beal,Washington Wizards
0.671, 4,2012,28.2,4062000,2015,"Dion Waiters","Oklahoma City Thunder",0.671, 4,2012,High,4062000,2015,Dion Waiters,Oklahoma City Thunder
0.537, 5,2012,13.4,3678360,2015,"Thomas Robinson","Portland Trail Blazers",0.537, 5,2012,Medium,3678360,2015,Thomas Robinson,Portland Trail Blazers
0.537, 6,2012,36.3,3340920,2015,"Damian Lillard","Portland Trail Blazers",0.537, 6,2012,Very High,3340920,2015,Damian Lillard,Portland Trail Blazers
0.585,43,2012,16.5,3333333,2015,"Mike Scott","Atlanta Hawks",0.585,43,2012,Medium,3333333,2015,Mike Scott,Atlanta Hawks
0.890, 7,2012,31.8,3049920,2015,"Harrison Barnes","Golden State Warriors",0.890, 7,2012,High,3049920,2015,Harrison Barnes,Golden State Warriors
0.122,53,2012,13.2,2963232,2015,"Furkan Aldemir","Philadelphia 76ers",0.122,53,2012,Medium,2963232,2015,Furkan Aldemir,Philadelphia 76ers
0.683, 8,2012,24.9,2793960,2015,"Terrence Ross","Toronto Raptors",0.683, 8,2012,High,2793960,2015,Terrence Ross,Toronto Raptors
0.537, 9,2012,29.8,2568360,2015,"Andre Drummond","Detroit Pistons",0.537, 9,2012,High,2568360,2015,Andre Drummond,Detroit Pistons
0.537,11,2012,16.0,2317920,2015,"Meyers Leonard","Portland Trail Blazers",0.537,11,2012,Medium,2317920,2015,Meyers Leonard,Portland Trail Blazers
0.671,12,2012,20.8,2202000,2015,"Jeremy Lamb","Oklahoma City Thunder",0.671,12,2012,Medium,2202000,2015,Jeremy Lamb,Oklahoma City Thunder
0.402,14,2012,19.7,1987320,2015,"John Henson","Milwaukee Bucks",0.402,14,2012,Medium,1987320,2015,John Henson,Milwaukee Bucks
0.427,15,2012,22.7,1887840,2015,"Maurice Harkless","Orlando Magic",0.427,15,2012,Medium,1887840,2015,Maurice Harkless,Orlando Magic
0.585,17,2012,17.5,1703760,2015,"Tyler Zeller","Boston Celtics",0.585,17,2012,Medium,1703760,2015,Tyler Zeller,Boston Celtics
0.500,18,2012,23.8,1618680,2015,"Terrence Jones","Houston Rockets",0.500,18,2012,Medium,1618680,2015,Terrence Jones,Houston Rockets
0.427,19,2012,14.3,1545840,2015,"Andrew Nicholson","Orlando Magic",0.427,19,2012,Medium,1545840,2015,Andrew Nicholson,Orlando Magic
0.427,20,2012,28.6,1483920,2015,"Evan Fournier","Orlando Magic",0.427,20,2012,High,1483920,2015,Evan Fournier,Orlando Magic
0.585,21,2012,24.3,1424520,2015,"Jared Sullinger","Boston Celtics",0.585,21,2012,High,1424520,2015,Jared Sullinger,Boston Celtics
0.585,23,2012,12.8,1312920,2015,"John Jenkins","Atlanta Hawks",0.585,23,2012,Medium,1312920,2015,John Jenkins,Atlanta Hawks
0.122,25,2012,21.2,1210080,2015,"Tony Wroten","Philadelphia 76ers",0.122,25,2012,Medium,1210080,2015,Tony Wroten,Philadelphia 76ers
0.280,26,2012,16.4,1169880,2015,"Miles Plumlee","Phoenix Suns",0.280,26,2012,Medium,1169880,2015,Miles Plumlee,Phoenix Suns
